x,y,z,o,a,t,typ
-27.227968215942383,35.789825439453125,-72.4267349243164,0.014941000379621983,-71.8340835571289,-153.09500122070313,1
-26.288087844848633,35.710971832275391,-72.229766845703125,0.015710124745965004,-72.073402404785156,-154.04603576660156,1
-24.626955032348633,35.605842590332031,-71.870567321777344,0.017437223345041275,-72.603843688964844,-155.71343994140625,1
-23.02130126953125,35.570819854736328,-71.314468383789062,0.01833832636475563,-73.162429809570312,-157.31779479980469,1
-21.00640869140625,35.6311149597168,-70.380210876464844,0.018453290686011314,-74.005287170410156,-159.3338623046875,1
-19.412841796875,35.776691436767578,-69.549140930175781,0.018456768244504929,-74.676132202148438,-160.92930603027344,1
-17.7989501953125,36.019775390625,-68.569694519042969,0.018017485737800598,-75.403976440429688,-162.54566955566406,1
-16.200441360473633,36.341896057128906,-67.456947326660156,0.01760546863079071,-76.181953430175781,-164.13998413085938,1
-14.2261962890625,36.956691741943359,-65.863975524902344,0.016068076714873314,-77.225654602050781,-166.11531066894531,1
-13.037476539611816,37.288478851318359,-64.77911376953125,0.015191759914159775,-77.909553527832031,-167.30233764648438,1
-11.167054176330566,38.121685028076172,-62.870429992675781,0.012834711000323296,-78.964584350585938,-169.176513671875,1
-10.358184814453125,38.4742317199707,-61.962944030761719,0.010415294207632542,-79.585647583007812,-169.984130859375,1
-9.8201303482055664,38.743511199951172,-61.328762054443359,0.004936018493026495,-79.9839096069336,-170.51715087890625,1
-9.6349239349365234,38.861240386962891,-61.099590301513672,0.004411906935274601,-80.082656860351562,-170.70384216308594,1
-9.6126890182495117,38.873115539550781,-61.080108642578125,0.0052191815339028835,-80.096549987792969,-170.72660827636719,1
-9.6110715866088867,38.874900817871094,-61.079105377197266,0.0057057728990912437,-80.097373962402344,-170.72933959960938,1
-9.6111221313476562,38.956108093261719,-61.422466278076172,0.0061380555853247643,-79.728469848632812,-170.729736328125,1
-9.6113805770874023,39.328422546386719,-62.392978668212891,0.0065910643897950649,-78.327713012695312,-170.73046875,1
-9.6116628646850586,39.628128051757812,-63.2815055847168,0.0069760079495608807,-77.070472717285156,-170.73060607910156,1
-9.6104879379272461,40.583057403564453,-64.994964599609375,0.0070292814634740353,-74.470138549804688,-170.73051452636719,1
-9.6123981475830078,41.409671783447266,-66.232101440429688,0.0074703926220536232,-72.404022216796875,-170.73007202148438,1
-9.6133413314819336,42.325931549072266,-67.340377807617188,0.0078825242817401886,-70.384605407714844,-170.7301025390625,1
-9.6130905151367188,43.214065551757812,-68.113998413085938,0.0079082828015089035,-68.624725341796875,-170.73088073730469,1
-9.61099624633789,43.979152679443359,-68.890975952148438,0.0079099461436271667,-67.1086196899414,-170.73127746582031,1
-9.6121206283569336,44.401470184326172,-69.148101806640625,0.007909996435046196,-66.500244140625,-170.7314453125,1
-9.6119441986083984,44.531681060791016,-69.236457824707031,0.0085692498832941055,-66.280326843261719,-170.73176574707031,1
-9.6119394302368164,44.553646087646484,-69.25054931640625,0.0087615316733717918,-66.24530029296875,-170.73178100585938,1
-9.6119394302368164,44.557231903076172,-69.25323486328125,0.00878728274255991,-66.238533020019531,-170.73173522949219,1
-9.6119394302368164,44.557468414306641,-69.2535171508789,0.0087889730930328369,-66.237953186035156,-170.73173522949219,1
-9.6119394302368164,44.557472229003906,-69.253524780273438,0.0087889982387423515,-66.237945556640625,-170.73173522949219,1
-9.6119394302368164,44.557472229003906,-69.253524780273438,0.0087890001013875,-66.237945556640625,-170.73173522949219,1
-9.6119394302368164,44.557472229003906,-69.253524780273438,0.0087890001013875,-66.237945556640625,-170.73173522949219,1
-9.6119394302368164,44.557254791259766,-69.253524780273438,0.0087890001013875,-66.237945556640625,-170.73173522949219,1
-9.6119394302368164,44.544853210449219,-69.249649047851562,0.0087890001013875,-66.24554443359375,-170.73188781738281,1
-9.6119394302368164,44.430614471435547,-69.16986083984375,0.0087890001013875,-66.5098648071289,-170.73248291015625,1
-9.61245346069336,43.924442291259766,-68.820831298828125,0.0087890001013875,-67.449874877929688,-170.73307800292969,1
-9.6139278411865234,43.116069793701172,-68.214401245117188,0.0087890001013875,-68.810806274414062,-170.7330322265625,1
-9.6117877960205078,42.252540588378906,-67.260063171386719,0.0087890001013875,-70.5377197265625,-170.73291015625,1
-9.6113119125366211,41.356494903564453,-66.1623764038086,0.0087890001013875,-72.531059265136719,-170.73258972167969,1
-9.6133613586425781,40.341800689697266,-64.575523376464844,0.00834949966520071,-75.133438110351562,-170.73239135742188,1
-9.6130571365356445,39.674709320068359,-63.228515625,0.0079374685883522034,-77.147369384765625,-170.731689453125,1
-9.6121625900268555,39.141212463378906,-61.88262939453125,0.00791085883975029,-79.030845642089844,-170.73150634765625,1
-9.6119670867919922,39.014595031738281,-61.44561767578125,0.0079101072624325752,-79.609336853027344,-170.73110961914063,1
-9.6119394302368164,38.886024475097656,-61.110080718994141,0.0079100029543042183,-80.058197021484375,-170.73077392578125,1
-9.6119394302368164,38.87530517578125,-61.0831298828125,0.0079100001603364944,-80.092582702636719,-170.73013305664063,1
-9.635009765625,38.864151000976562,-61.088794708251953,0.0079100001603364944,-80.096733093261719,-170.72053527832031,1
-9.87506103515625,38.800666809082031,-61.215312957763672,0.0079100001603364944,-80.048225402832031,-170.47563171386719,1
-10.78802490234375,38.438087463378906,-61.947883605957031,0.0079100001603364944,-79.709930419921875,-169.55453491210938,1
-11.987732887268066,38.097953796386719,-62.746051788330078,0.0071408748626708984,-79.258804321289062,-168.35545349121094,1
-13.5362548828125,37.667507171630859,-63.648517608642578,0.0070378673262894154,-78.782958984375,-166.80235290527344,1
-15.95819091796875,37.146316528320312,-64.791938781738281,0.0078826388344168663,-78.2218017578125,-164.38693237304688,1
-17.177125930786133,36.932521820068359,-65.175125122070312,0.0079065794125199318,-77.939247131347656,-163.16195678710938,1
-19.22222900390625,36.769454956054688,-65.8399887084961,0.0094206742942333221,-77.504776000976562,-161.12030029296875,1
-20.454347610473633,36.701641082763672,-66.095443725585938,0.010845709592103958,-77.266159057617188,-159.88578796386719,1
-22.06549072265625,36.677108764648438,-66.274589538574219,0.015179669484496117,-77.092697143554688,-158.27838134765625,1
-24.056215286254883,36.762794494628906,-66.4164047241211,0.017475582659244537,-76.863960266113281,-156.28337097167969,1
-26.01397705078125,37.018215179443359,-66.376113891601562,0.018426330760121346,-76.6845703125,-154.3282470703125,1
-27.58721923828125,37.284523010253906,-66.142295837402344,0.019114332273602486,-76.632431030273438,-152.75811767578125,1
-29.213197708129883,37.5941162109375,-65.8525390625,0.019981395453214645,-76.6031265258789,-151.13392639160156,1
-31.199525833129883,38.1324462890625,-65.273567199707031,0.021691013127565384,-76.6102294921875,-149.14134216308594,1
-32.33990478515625,38.569484710693359,-64.767959594726562,0.022597001865506172,-76.671585083007812,-148.00694274902344,1
-34.29107666015625,39.234157562255859,-63.847087860107422,0.024463718757033348,-76.835533142089844,-146.05934143066406,1
-35.85662841796875,39.922340393066406,-62.946285247802734,0.025863481685519218,-77.035873413085938,-144.49139404296875,1
-37.4007568359375,40.793994903564453,-61.900474548339844,0.03127940371632576,-77.2931137084961,-142.94754028320313,1
-38.925113677978516,41.661037445068359,-60.709636688232422,0.033650148659944534,-77.606048583984375,-141.42256164550781,1
-40.42529296875,42.613330841064453,-59.364303588867188,0.033413760364055634,-78.060615539550781,-139.91973876953125,1
-41.8985595703125,43.656597137451172,-57.861122131347656,0.033398985862731934,-78.517913818359375,-138.44682312011719,1
-43.705265045166016,45.091846466064453,-55.745510101318359,0.032739531248807907,-79.129714965820312,-136.64006042480469,1
-45.0933837890625,46.324951171875,-53.885356903076172,0.032533720135688782,-79.749069213867188,-135.25511169433594,1
-46.47711181640625,47.687259674072266,-51.791496276855469,0.033179357647895813,-80.462493896484375,-133.87005615234375,1
-47.83172607421875,49.164699554443359,-49.484012603759766,0.033384334295988083,-81.390151977539062,-132.51341247558594,1
-49.359928131103516,51.030616760253906,-46.504974365234375,0.033397573977708817,-82.501838684082031,-130.98219299316406,1
-50.057010650634766,51.963577270507812,-44.994541168212891,0.033397946506738663,-82.979049682617188,-130.29043579101563,1
-50.749698638916016,53.029251098632812,-43.259883880615234,0.034249529242515564,-83.743972778320312,-129.59213256835938,1
-50.9995002746582,53.321159362792969,-42.748973846435547,0.034934531897306442,-83.921859741210938,-129.34477233886719,1
-51.065155029296875,53.418350219726562,-42.618087768554688,0.035149078816175461,-83.996551513671875,-129.27951049804688,1
-51.070060729980469,53.424358367919922,-42.609645843505859,0.035924691706895828,-84.001502990722656,-129.27456665039063,1
-51.070468902587891,53.424732208251953,-42.609012603759766,0.036028105765581131,-84.002113342285156,-129.27420043945313,1
